title,link,published,source,timestamp
"Iran targets ships, Dubai airport and oil facilities as economic concerns mount - PBS",https://news.google.com/rss/articles/CBMizgFBVV95cUxNWjNDeEdLbWNBVXZJM0FhY3QzOFhGUkd0TTdBQnU2WHFaWmpQU1U4MFFCWERtQjUzd2U3a3NUS0MzdFdBMnA1LWlMY1Q4bzlueWhGSE1URTNlZlMzblVCcVFmX0tGcktBcVM2LXhrUWpEU0VxSnJySXRwa0xUVDk1ak1aelBaVmdZclQtdTFUVk4wM3RDUS0yblBnRF9rcnhYSHZGSC1vMkItZ0RRTWFSdWFJTWN3bDRRT0hTcFFpanMyTXRoTkdBUFBqQy1MQdIB0wFBVV95cUxNRm1EbUM2SmlFWkEwMWFiX2FQckQtaVBsZ3dpVnpsQ0w2cFhVUzNHNlRSVDhraGdaaFY4YllGUTJIY0czZUlVU1VaMlQzOTd2NXRDeWdQeWtMMmtVVE1TbmZDbGNqRW1WUmxtcVpRUVZEM1BaVFNja2k3YmFzUXlhSWxBUmc2RktCVGM5XzZ1SW5GWGtIeFpCb1FkZDFkQTQzY1RnRTFPNjcyX0RlOTNDRlpvd21KLUR0Zkl4Ml9oazNPMlJ4S294WlJHZS1RaEk5MnhZ?oc=5,"Wed, 11 Mar 2026 14:48:18 GMT",PBS,2026-03-12T17:27:42.852276
Drone strikes near Dubai airport deepen Gulf aviation chaos - Reuters,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNNVVSUHM3UE01YmRxTTc4VEJ2bUhMV09zcEc3bWFpYWo2ZVZtQVQ5Si1kRTg3N01TaFFMdlhIdVNjT0ZCNld5b1Nna0pCV0tFdEdpS1ZETDh6MnlfdjFvaS1xN2xKX1VDUUJ3VThZQVFudERVMTZuTXVrZWpFNmxzcnpLQ2MxZXZqZzdpX1RhWGhOSEJuelplY1JoUmx5RXc4aUdYenRqaFRKQ1VVVDVUY1l4bG5Lc3NacTNZN0wtdWZ0aE0?oc=5,"Wed, 11 Mar 2026 08:28:23 GMT",Reuters,2026-03-12T17:27:42.852298
Banks in Gulf Evacuate Their Offices - The New York Times,https://news.google.com/rss/articles/CBMilgFBVV95cUxQMDZaZl9IYl9PUmdUcGRYVVgyTkdLNmQ5dVFTZEF4REl0Z0Y4aG9qRGY4WmFMaU1sTDFfWWxJeDBWWmVOUFVXcXZNREJJVkFXR3VnbDY5RFh5M3ZVSnZ0LTVxXzYzdWdlSURSRy13NWlSMklBd29MMng5MnZQYk9WTlUycG14UVFZQ2xjQ2hXX2x1OVB2VlE?oc=5,"Wed, 11 Mar 2026 18:13:24 GMT",The New York Times,2026-03-12T17:27:42.852303
"Citi, StanChart evacuate Dubai offices, HSBC closes Qatar branches as fears grow - Reuters",https://news.google.com/rss/articles/CBMivAFBVV95cUxNYklVQ25lZ2RWX1FEczlDR3VmNmNEVVFSQkYwSDlMSUdvMGJPUE1GQlhQb3EtM0djd0x6U1BfSzY0TVFXOE5vLXlGTkZQMVZLWkowU1FCRHI2R2lqTTFPcmV5dEVoZHZvV0Z1NThZY0g0N2M1MEVwRnBMeTJHT2k5Vm80XzRUeHgxLVAtUWVxbVRfTzVMSjFmdmx4TGwzQVB3SUlQUmhvUC14V180MUR6blJMM2l2TmFmampnUw?oc=5,"Wed, 11 Mar 2026 13:08:16 GMT",Reuters,2026-03-12T17:27:42.852308
Companies evacuate Dubai financial district after Iran threats - France 24,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQaWNfNXR0aVEwTjlDV0lxQ3hDZnJ1Ny1jeWcweTdKd3dmSEM1TEQ5bUVBM2R4eHZwVVY4QldZZ0ZtbHpKX3ZVTmZXOGszRlZwZlRldkRZaDZYSHowdE90TUJHMWdQNHRPZUgtWG0tV192Nk1wUmlGc2ppTEh4eUFHeUFjQ1lIbjlaT1RocXJva3AwZmxrYXYwVXNKVEM4bzMwS0JyTkRTSjU?oc=5,"Thu, 12 Mar 2026 10:17:58 GMT",France 24,2026-03-12T17:27:42.852313
Dubai charges British man who ‘filmed missiles’ - The Telegraph,https://news.google.com/rss/articles/CBMiogFBVV95cUxOd1NnVmE4WTV5Y2NvZktrX0p1SFRYSWVleXBzSkRncHJ6djNrdmtVa25IZWRSVm1sYU44Sk1zaVdoR0Z6aFlfelFIeFVHVTVqWXVXOXo5VE1mUUNrcVBzMktuZmxGQTZTdjBmcHhwSEFfOTNUT21KMHdaQVh1Z2xvQ1BIQmZSTmtPLVlrODk5VjU0bTI3aGRfN2VXUEdwNEtpY2c?oc=5,"Thu, 12 Mar 2026 08:31:00 GMT",The Telegraph,2026-03-12T17:27:42.852318
'Dubai is finished': Expats say they will leave and never come back as tax-free dream is shattered by war and officials begin prosecuting people for posting videos of missiles - Daily Mail Online,https://news.google.com/rss/articles/CBMikwJBVV95cUxNSzY0QUNrQ3FuclFKeHJxT2JuSzJvYUJQV292TjBwb1N3QlNCR1VuRmR0TUE2MnVYYzQ1UFFTQl9HSVF3MXQzY2NGT1RSMlBtalA1Y1hSTFBqamcyMkhsN09XVDZ0d0VWQ29VYjdpS1lIOTFmTlliTnk2Uy10RlROT2FLRUl3eEhpMHVmaF9MMXVYaUF3S281RlVvNHZxcFZWVTVkZUE2WUtCclRLU1NFUklnV3pZTWVJTml4bUJFMXFMRnVkSTdGQlZxMTFxeEZTQ1FLZWNqOFVWUDlFdDA5b25qRzhYV0NjWnhEMU9CSHJxcmhoeEdLdWJUOWtJZnhvVjlwNTctSEpLVzdhX1JuXzhYMNIBmAJBVV95cUxNVzltRGhWS0NfT2xuQzBnVGUyT1AyVnpBU2ZqT1RhemNGaUc2MWFkQThjSjdIOEt1Um5aSXRNYzRDMW9HVGluWEVHVFRzSXlzSnpVRUVZbWNWUjdLclBaQlQ2dHZYbXJ0eS04QTBGUllOVkJ1YmJCUEI5MGFGcWU3ZDMyZ3RUekhNZTRDeVJaWTZYRGphSkswY2hmZ0tjV3Z6N2xqN3lnN01wb0hnY2psWHVtZFBGWnR6T2YxUVFkN3llVUM3Rm9DaGRhcFJWaUNCa0J5dG9hVzNYcHdzNGdQRlFaMkVmc2l0c2JEODhWSk1LbG5ncTNUUU5YcUJ2Z25zTHBJWW1SXzhncDFDRGh0YUpvbTZVMnN2?oc=5,"Thu, 12 Mar 2026 09:37:57 GMT",Daily Mail Online,2026-03-12T17:27:42.852323
"In Dubai, missiles overhead, calm on ground - The Indian Express",https://news.google.com/rss/articles/CBMiowFBVV95cUxPUWpGS3Fuc1pKZUtNR1NwanA3Ynpzd2M2b2Z5UlNTNDVYVl9XZWUzTWRRaVE1UnkxNnZ0UTRiZ2V1X1ZEQU0wOUZ1Z1pOZmNaQVRqeEFnR2xQSnN6REU3M3JGRXhkR0JJSzFZbWhKak1rN1UybS1VV25NOGxqMXJnLV9Mak0wVUVvVk9YWHNYVzhlcEt4ZFZIWXpmckZ4Q01XcjNJ?oc=5,"Wed, 11 Mar 2026 00:49:19 GMT",The Indian Express,2026-03-12T17:27:42.852327
‘The shine has been taken off’: Dubai faces existential threat as foreigners flee conflict - The Guardian,https://news.google.com/rss/articles/CBMizgFBVV95cUxQYWZqN0ZrckxzS05UbjVESmZjUzhtLTdCQWpzdVMxSGlienpBWFhiSVU0bDE5RDRVQ2c5a0Zlb1dsY1VacnJXdS1PV0xLQ1VFYXpuUDdUX0I2eEl0WU15V3dXSk9IWEFkTHRkSkJCLVBYZkczRndUUFc5eURzRWVmdFljeWRpSmhVMVF3YmRYcUlXUjVxTktRVHBIYlVWMTlsR2F5V1dxTzF1NXV6V3V2RmFhT3BQSUw2TXJmVmRMd1JjVngzeHBmTXFFN29OQQ?oc=5,"Wed, 11 Mar 2026 21:05:00 GMT",The Guardian,2026-03-12T17:27:42.852332
"Live Updates: Trump vows to end war soon as Iran hits ships, threatens banks, and toll on U.S. forces emerges - CBS News",https://news.google.com/rss/articles/CBMitgFBVV95cUxOUlRidkdoRlpxOFJxSk1MQjF5X1MwaFhWU1AwUGNCUnN4cXlOU3ROMENMVXJYOGN3XzNQSDJMZ24yOEtwWlp4eU5iQWd6aXZOOFlDS0pFQVdGX0QzQ0FmcEpTa1J4Y1drVHhkV0Nxa2F4T2NRTjJ1alk5ZlMwUndZNnFkQ0J0OUp2QVY4a1VtRWlNZUJlTmRYSnM5cEVxMHhuNkM5TFJScldKd25LWEVVWEpfQWEwUdIBuwFBVV95cUxOcDIxd3NlV1VhUlowZEJUZGtYTDdTajVWbXd6UjNVaWlPSlVscEM4dXcyWjVIYkdMb1l2WUtadVp3TVNRWTg2SHNKLXlFa2pPNEx2R1BQTjBRUkpnVkhlY3RlVlczNmphSGpHU1J2YXRYdkNub2pBNEdBcWNNdm1Ka3owckVCQWt6bUs1am96MlEwNHJER19iU3N2QnNCTmlXWEhVc2Rzd0Q0eWVVWmZwNUJoSThFU0pVbTBN?oc=5,"Thu, 12 Mar 2026 08:04:00 GMT",CBS News,2026-03-12T17:27:42.852337
