title,link,published,source,timestamp
Newsom knocked for ‘insane’ California gas prices after blaming Trump for rising costs - Fox News,https://news.google.com/rss/articles/CBMirgFBVV95cUxPRUVWeWxBbm1BSGRLbm1UN3Y0Q3YtbEd5UEVCYXV1MG9wWUlYV1JYZ2RiMmNaYTBKTjBpOTJTYnBIZ29EeW54MGFyT3dEellTcVBPZG91YmV4U2JjQm5fOE5GNE5EdXZ2YVVrM2RUaFlzZEJiQnhLUnF3eHBSbDAtYl92cHBGRnhDQ3ZIM2x0WHdoV0dxbHpOVmxwMUtaaFFBRFczYzl1Z0xYcGNfM0HSAbMBQVVfeXFMTzZUbVVjaU15Tm1oSXBKUGFoNVhoQzNaRHRqT1p0SXBodExKRDNJakdqbzRLa0txb25NLUZ6NG1GSjRTNW1DdTFfZU84QUhLaHF4Vk9pcS00YTdOalRBcWU1OG5lcEVYd0NaNUdGdHIwVUNKcEExNW1TTGJGUlI3VTJ0WS1QSEtfY3VfWFZOOUtPWXRiYzJsand0alR5YXJaZ0MzX2drdVBLSlFVYU1tQmZMR0k?oc=5,"Wed, 11 Mar 2026 22:55:00 GMT",Fox News,2026-03-12T17:18:05.981203
Oil prices are falling — gas prices aren't. Here's why. - CBS News,https://news.google.com/rss/articles/CBMihAFBVV95cUxNUG9KbFRTTDBvSHhzSTVRR3hmUFE3Z21PZWNGTW9QaG56WldmcHdVd2VaNHFaTWVpQTlVQ1hJdW5WTXU4NVlISXc1TW1PRVVDTXUyRVZyeTdsd3Q3ckcxU3pZNVpCbmN5REpnelJDUXJHajh4ZnhpaU02czQ3WVd5Z2xrdlrSAYoBQVVfeXFMTy1XdW01WFp1amFYeGZseEp2ZXcxX29kQi1ibXJHaVE4TXh6R01UNjZLcWI2Vmd6TUZTX0pvWFc2U0g1M0xWMWVNS0dWcGxtVkEtR01Ha2xDdVdEbE52V25oNmtIVEN2azh0eWoyZGtCdWwzVHFjR2s4YUF5UXdEUENseU93Yk13bVpB?oc=5,"Tue, 10 Mar 2026 18:17:00 GMT",CBS News,2026-03-12T17:18:05.981235
India Asks China For Urea as War-Induced Gas Crunch Hits Plants - Bloomberg,https://news.google.com/rss/articles/CBMitAFBVV95cUxPbXdHaWk2NXM4QjdzVzljckVSenpDQzMxOGlBUV9nVzlfbG9fek95X05Sc2FWMnlmNWVjdG9vOHZNSXdNT01DMVRLTzJvUlBmNHRtX1V4bldkR20td0kwOW5DbWVVMmRXcWwzSEJWWl8xTjNrSXI3Z00zQnllZ2JoWl9zQXVwREtMTHRjdW1MdmlPTEZnaXRFMkZsYUJUaXZMbnVqLVdLb3FqT3I5WWtvaFpIZGg?oc=5,"Thu, 12 Mar 2026 10:52:48 GMT",Bloomberg,2026-03-12T17:18:05.981246
Cheap gas finder - Axios,https://news.google.com/rss/articles/CBMieEFVX3lxTE8xTGh2V2E3bEloWE1RMXlUT09hclhRYlUxQkpEd2xONlJuSmppMWZJdWlsVDFNcUxKWG13ZTRUNUI5YU91cGV6LTlUMDJnWXhwd0RhYTl3NGNnS1lTWURUZFlCdU53ZjhJNW1INUVROW02OHlYUDlKZA?oc=5,"Thu, 12 Mar 2026 10:28:47 GMT",Axios,2026-03-12T17:18:05.981255
U.S. investigates strike on Iranian school as the war sparks a global oil crisis - NPR,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNc2FHSVBCb2tTR2QybzVKMDJXbE5fbEUwYlBuY1l1QXhwWFk2Qy1MLWc2cmpJd2ZNVjJIR0Mwa3NpSWp2QmozV1Y2d2d3d0IwWmJXR1M3bVpFR1piX2lJSFl6RjVxS3FsTHpJR3VOODQwTXk5LXlJRERPdWdnUV9oSXRkMTdnYWhQdElSTW1SeUcxS3RLWUN4OWp5TGRhdExCNFhiTnlvcHc5VWdSSXJmN0FDTklyX3gwOWdSS3B6ZThWV1YxM1ZmTXpaUHRhR0JJVUIyMmdBTFVVTDFV?oc=5,"Thu, 12 Mar 2026 11:04:31 GMT",NPR,2026-03-12T17:18:05.981332
Opinion | Here’s One Boast Trump Won’t Be Making Anymore - The New York Times,https://news.google.com/rss/articles/CBMickFVX3lxTE9NX3E5VWd6QWlwVXVHMVQ1RjBnVTJFRTNsbWN6OFkwaGhHNEFkb1lwc21kalZzTFNMQ3h5X3h5Q3ItRUtaWmRkdUxhajVULThMMmdOTGRvRmxsRWVPOXJNaE94bmo5ZWpaYnBNRVl0aDByZw?oc=5,"Wed, 11 Mar 2026 09:02:01 GMT",The New York Times,2026-03-12T17:18:05.981343
Trump can’t TACO out of the Iran war’s oil price shock - CNN,https://news.google.com/rss/articles/CBMicEFVX3lxTE1Ea1BsUTFxb3JxLXBHVG5wQXJYTW9pMW5CVGZ6V28wSGZNQkNGZVF6T2RmWjN3RHNpQ3poZVM1QXlsN3FmQVdkRzF4UUtvMGZodG5zNU96bXZtYnVPRFFCYTJXYTZZWVNpRUJ5OWl6QXQ?oc=5,"Wed, 11 Mar 2026 09:00:34 GMT",CNN,2026-03-12T17:18:05.981351
Liquefied natural gas: the overlooked economic chokepoint - The Economist,https://news.google.com/rss/articles/CBMitgFBVV95cUxNVGRRc3l2Y29faWhvMUpoQWs1Qkt3djl0UTc2TDRSeldnNnllU1M4NW81U0NMbzFDSU1JNUF5Wmh4NnJjNXlpLUNvUWFTU0VwNWRZZzM4QXBiYkZVUmZuZ1hyVU16d3hOUVlsMW45UGU5R2o3TC1leXFlMU01THRrdTVGR0J5YVhtUGFCd1liT0RYZk1KZ180ODc5RGhFdThwVEdNWUhndWVHeWV1WUZUd29lSVhBZw?oc=5,"Wed, 11 Mar 2026 12:06:58 GMT",The Economist,2026-03-12T17:18:05.981360
'The situation is dire': War on Iran squeezes India's cooking-gas supplies - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1VSkNESXpzNm9udHJfcVhqX0lvQkZ5T21fbDU3QlRCUFFXVVY3MVlzRURYRDJrOXRGSURHcUpodnFkT19VUEhmQ2JXb2NjdkxGVTJkZElyYmRiUQ?oc=5,"Thu, 12 Mar 2026 07:51:02 GMT",BBC,2026-03-12T17:18:05.981368
Gas prices surge across Philadelphia area as drivers feel sticker shock - 6abc Philadelphia,https://news.google.com/rss/articles/CBMimAFBVV95cUxNLVQtQ2dKN2F2bW13amVBeDRRRHdNcEhZTVRzRDZEVHJRV1lUYW5XYzc4SnRfcjVVdjZzUExkb082dUxZdTBsZHNNSVQxQlIxV1I3SGJwVDM4ZmZqbEJtRHNwN0dhTWwtS1p6dnh2S0ZoOC10VjdudGt6SVozejUwZ0c5V2lHeUU0dzhtc1RFTkV0eTRmSWNMVNIBngFBVV95cUxQSmNXdVlYMTB1Mi1fQWVsTFU5X21lanQxMjdDTFdrRVFiRElNWTAyaVZMQmd4WGRtSnZpZldUeS14dFY4OE5oT0NKWGdlb1EwWi1zY3hxQ3NWWUJXLUxFcUhsWkhDc0ZxdGh6OXVVUUhCTDZpYVZVa1NrYWV0OWdNWFcyRkFtMS1zelZtU3Q1WURlLXl0Zjdnc2hYVEdBUQ?oc=5,"Wed, 11 Mar 2026 23:57:12 GMT",6abc Philadelphia,2026-03-12T17:18:05.981377
