title,link,published,source,timestamp
"We’re at risk of a two-tier AI economy if we don’t bridge the AI gender gap, expert says - Fortune",https://news.google.com/rss/articles/CBMiigFBVV95cUxPSFVaVE0zOGF3WThMVEY0VWR1NEhabGlNSDNwdkRxWnJmSWJ2aldsb1hieXFqMjh4R0R2M1oybGpJWHBYb29WYjZidkI3VDc0Tk9PaGp1T2ZjRUt0OXNJdmlwWTY4TW5mOFRGZ0ZFWXcwTGxiOTJwQll1M0VSazN4bGluZjdNT3hySVE?oc=5,"Sat, 21 Mar 2026 10:13:00 GMT",Fortune,2026-03-21T20:52:20.804882
"Exclusive: Pentagon to adopt Palantir AI as core US military system, memo says - Reuters",https://news.google.com/rss/articles/CBMirwFBVV95cUxOUFVuVHRfVXhQRTRETHIyLUc5aW9UOGNWSmRmdWJEZ2xScVBLbWtLTWZhQTNVMEx3ZnlTcDBkMi1fZ3pIQ0RCOUxpWDU3R2JLd1VuVjFvbkRSNDhqSGM2RGhqa0RkUklyZmJhRWFKSXl2T1h1RFpMRVJ4cGtiSW9UTHQ0MlJMNjh2YVVGLWFRcktHR2VBOXRBd3BKeFA2b0JWd3A2dWc3UUtPc0VCcGRV?oc=5,"Fri, 20 Mar 2026 23:28:34 GMT",Reuters,2026-03-21T20:52:20.804901
UK government yet to trial OpenAI tech months after signing partnership - The Guardian,https://news.google.com/rss/articles/CBMivAFBVV95cUxOR3lHR1Jvc1B3Q2ozYUstb3ZSUG85VWRsNEVoSmR1MV9yY2NoV2lVaVpRUnJaR3Q5YmtpUXJRMGpMYjZFYTl4dFNneW1mSnJRejZ2V0xxdXBkMVFWSUFVMlFsdmNpbk5uZzJZWW44cWx5UWc5Q1lOX2pLeWpDVHdJbGhZekY0aTBycXRrSDFndUFZU0s2cE5xeGFtUE9ubWpsaUdVcXNfU1pWTTkwVEd5YXE2cExITXJQbGJGWA?oc=5,"Sat, 21 Mar 2026 12:01:00 GMT",The Guardian,2026-03-21T20:52:20.804906
"The push to end animal testing is gaining steam, but technology can’t fill the gap yet - CNN",https://news.google.com/rss/articles/CBMie0FVX3lxTE0zVFI1OTRiRFI5RV91Nl8tbk5JMDVhczhETFdiRTNjZV9TQWlDVWk3dWJqWC1uYTNZQVRTLWRwdkdQcldObERSRUlCV2xWc0g0N053N29EdWhxYmp5M0ZtRndMLWhDZkdScms5UkZ0YVE1Z3BBcWxDdmhjOA?oc=5,"Fri, 20 Mar 2026 11:00:35 GMT",CNN,2026-03-21T20:52:20.804911
"Opinion | How new tech is helping seniors live better, more independent lives - The Washington Post",https://news.google.com/rss/articles/CBMilgFBVV95cUxOYmQ4NkFjdmVHUjBBTldZZ1hDS1M5TndYWUJhRWloNE4ybDh2SDhxQl9ncnlYUjFUZFZXanFJSnRaQ3VhamZOLXZBeU0xOG1aUmNZbVZpQlhReUowMjgtWWdvX01WRzNmTG5LUlJMSUowSXBRbFVEQVhTLTJramZIVzBxQmRQNV9UakNVamhZRk9WejI3UkE?oc=5,"Fri, 20 Mar 2026 03:30:13 GMT",The Washington Post,2026-03-21T20:52:20.804916
U.S. prosecutors charge Super Micro employees with smuggling AI technology to China - CNBC,https://news.google.com/rss/articles/CBMiwwFBVV95cUxON3BGLXBSY0JDSWplSmVyRGkwRFYzTVJCajZZenNTRGJYMVFHZFMzUGZLbTQ2cXBRQUVaRU1oWFlvZXpZay0zbkNVZ1lxdEJIU00xMUNnQjAtb1M2MmZxektYRGwxMUpHMm9RMzdnLU5wRGNpYjhtQmpCZWt0RmhQMlBkbERzbUttTkJkNjh1OW1XbVFyc29QbVlOeEp4NktGdmxEampfV3pkMG9pX0xQMXNHR0NJNWJyQjNRdmRYWjlQYkk?oc=5,"Fri, 20 Mar 2026 10:50:00 GMT",CNBC,2026-03-21T20:52:20.804921
China's technology long game - ChinaTalk | Jordan Schneider,https://news.google.com/rss/articles/CBMiaEFVX3lxTFAwb0FFTV8teGxLX2VuNnFBWlFhS05sTnRWZUo3cTRPYVF1NW5nc3NkQV9GaHRab1hENDVGcmFDbms1cjFaX3loRUN0TmJqdTZaY2tMSUFGdTEzVlBCTFRPX2prdUl0cGZl?oc=5,"Fri, 20 Mar 2026 11:46:28 GMT",ChinaTalk | Jordan Schneider,2026-03-21T20:52:20.804925
Czech authorities probe suspected arson at a drone technology company - AP News,https://news.google.com/rss/articles/CBMingFBVV95cUxONDNQZlBsR3hxNEJ5UnJmWlpNcHBPTVlGd1F6Z1FOR3I2Q2FEd0tKNjZyeHd5dWtQTU9rNTU4bUtWTmFoYWh3N3JCZEZYM0lHTW5zNklCQk8tT2FfUDBacDMyb2dDREJ6d0FqOE0ydEdkeXBHZ012Sk9XVTNKelpNTEZUVTlMeEMwRW1aNUEyX0w4RUtFbmdEU2U3T0otQQ?oc=5,"Fri, 20 Mar 2026 15:21:00 GMT",AP News,2026-03-21T20:52:20.804930
NEC Completes Design of Equipment for Technology Demonstration Satellite: Press Releases - NEC Global,https://news.google.com/rss/articles/CBMia0FVX3lxTE9HclNLLWFLS2ROZTJpelE4Y0o5T3NTQy16QWRLYVQxUXdXQ01HRC1ndDFRSnBzN1V2SFJhTlNQWENXOWE5OEd1YXFWQjBYTE5tRDRoSGpVazRwemZJMVcxTzZuSTZQdjVKS3pN?oc=5,"Thu, 19 Mar 2026 03:19:54 GMT",NEC Global,2026-03-21T20:52:20.804934
"Tiny AI Drone Technology Company Surges 1,000% in Two Days - Bloomberg.com",https://news.google.com/rss/articles/CBMirAFBVV95cUxObDVGU3FLTnRLTHpWNE51ekxOLWFybF9ZMWNsMFoxS3VLY0owcGFyS0UxQW8tNHpxVmVsREk3a2dkbVNkeUp3QXhVTW9mTm1zaWZzLXFsaEZsbWdRYnRVbG1PLVJnaklLOXlHNUFPRHRES3hpZWJaamtCcUVIZURBajZVRXhURlZfcFN4WFg5amJ5Z240X2dUb2ZRYmFxbk1FWGxnMW9TcXFEeC1B?oc=5,"Wed, 18 Mar 2026 20:19:22 GMT",Bloomberg.com,2026-03-21T20:52:20.804939
